Age,Income,LoanAmount,CreditScore,YearsExperience,Gender,Education,City,EmploymentType,LoanApproved
43,54281.0,17379.0,553.0,27,Male,PhD,San Francisco,Salaried,0
39,46908.0,17793.0,685.0,11,Female,High School,Chicago,Salaried,1
56,59826.0,18553.0,784.0,9,Male,PhD,San Francisco,Self-Employed,1
31,48080.0,26708.0,776.0,39,Female,PhD,San Francisco,Self-Employed,1
23,47751.0,20556.0,583.0,12,Male,High School,San Francisco,Self-Employed,0
58,64894.0,19331.0,579.0,37,Male,Bachelors,New York,Unemployed,0
50,41760.0,21042.0,744.0,30,Male,PhD,Chicago,Salaried,1
18,43240.0,19759.0,674.0,21,Male,Bachelors,San Francisco,Salaried,1
61,36330.0,-2431.0,518.0,26,Female,PhD,Chicago,Salaried,0
55,27091.0,29570.0,786.0,28,Female,Masters,New York,Self-Employed,0
64,42695.0,35295.0,442.0,7,Female,PhD,Houston,Unemployed,0
40,34784.0,21164.0,320.0,18,Male,Masters,New York,Salaried,0
49,57353.0,21580.0,646.0,19,Male,Masters,New York,Self-Employed,1
64,49488.0,18841.0,721.0,20,Male,High School,Chicago,Self-Employed,1
58,66473.0,33651.0,565.0,22,Female,Bachelors,San Francisco,Unemployed,0
68,49488.0,22791.0,552.0,15,Female,Masters,Chicago,Salaried,0
39,34539.0,24656.0,399.0,9,Female,Bachelors,New York,Self-Employed,0
67,42481.0,14561.0,659.0,28,Female,Masters,Chicago,Self-Employed,1
57,49488.0,3606.0,627.0,18,Male,High School,New York,Unemployed,0
27,68154.0,23745.0,678.0,6,Male,Masters,San Francisco,Salaried,1
53,51051.0,17147.0,786.0,23,Female,Bachelors,New York,Salaried,1
21,61082.0,20479.0,707.0,16,Male,PhD,New York,Self-Employed,1
58,51166.0,20503.0,635.0,13,Female,Bachelors,Houston,Self-Employed,1
25,53671.0,31985.0,802.0,20,Male,PhD,San Francisco,Self-Employed,1
26,50081.0,34063.0,735.0,3,Female,PhD,Chicago,Self-Employed,1
43,70106.0,23547.0,333.0,38,Male,Masters,New York,Self-Employed,0
27,52607.0,7449.0,641.0,14,Male,Masters,Houston,Self-Employed,0
51,21879.0,20123.0,422.0,25,Male,Bachelors,San Francisco,Unemployed,0
50,39808.0,14137.0,774.0,23,Female,Bachelors,Houston,Self-Employed,0
35,53525.0,29988.0,411.0,19,Male,Bachelors,San Francisco,Unemployed,0
63,77988.0,22682.0,615.0,36,Female,Masters,San Francisco,Self-Employed,1
54,60044.0,21199.0,761.0,31,Female,PhD,New York,Self-Employed,1
33,61875.0,21759.0,335.0,18,Male,PhD,New York,Unemployed,0
54,86151.0,19289.0,630.0,31,Male,PhD,San Francisco,Self-Employed,1
24,46039.0,17748.0,350.0,19,Female,Masters,Chicago,Unemployed,0
66,44416.0,13171.0,669.0,13,Male,Masters,Houston,Salaried,1
23,52073.0,24851.0,761.0,27,Female,Bachelors,Chicago,Unemployed,0
63,65099.0,15065.0,322.0,19,Female,Bachelors,San Francisco,Salaried,0
50,45903.0,3172.0,301.0,14,Female,PhD,San Francisco,Self-Employed,0
29,43686.0,26679.0,836.0,21,Male,Masters,New York,Salaried,1
69,38982.0,18579.0,500.0,23,Female,PhD,New York,Salaried,0
40,52068.0,21306.0,768.0,2,Male,High School,New York,Self-Employed,1
60,47667.0,23691.0,756.0,13,Male,Masters,New York,Self-Employed,1
25,58888.0,32446.0,631.0,16,Female,Bachelors,San Francisco,Self-Employed,1
31,50262.0,20698.0,728.0,27,Female,Bachelors,Chicago,Self-Employed,1
20,60932.0,20762.0,665.0,22,Female,Bachelors,Chicago,Self-Employed,1
22,67410.0,19675.0,609.0,26,Female,PhD,San Francisco,Self-Employed,1
67,40217.0,26197.0,648.0,25,Female,High School,Chicago,Salaried,1
22,60613.0,20545.0,847.0,1,Female,Masters,Chicago,Self-Employed,1
40,65537.0,13421.0,301.0,28,Male,High School,Houston,Self-Employed,0
31,75981.0,39068.0,470.0,20,Female,Bachelors,Chicago,Salaried,1
